Rating_change,GDP,Default_flag
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
7,-2.35,1
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-3,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
1,-2.35,1
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
2,-2.35,1
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
1,-2.35,1
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,1
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
6,-2.35,1
-1,-2.35,0
0,-2.35,0
0,-2.35,0
1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
1,-2.35,1
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-4,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
4,-2.35,1
0,-2.35,0
1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
2,-2.35,1
0,-2.35,0
0,-2.35,0
4,-2.35,1
4,-2.35,1
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
1,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
4,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
5,-2.35,0
0,-2.35,0
1,-2.35,1
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
-1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-2.35,0
1,-2.35,0
0,-2.35,0
0,-2.35,0
-1,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
7,-1.72,1
5,-1.72,0
0,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
-1,-1.72,0
5,-1.72,0
-1,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
1,-1.72,0
0,-1.72,0
-1,-1.72,0
1,-1.72,0
8,-1.72,1
0,-1.72,0
1,-1.72,0
8,-1.72,1
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
0,-1.72,1
0,-1.72,0
0,-1.72,0
-1,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
2,-1.72,1
0,-1.72,0
0,-1.72,0
0,-1.72,0
1,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
7,-1.72,1
0,-1.72,0
6,-1.72,1
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
1,-1.72,0
-1,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
1,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
-1,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,1
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
6,-1.72,1
6,-1.72,1
0,-1.72,0
0,-1.72,0
5,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
-1,-1.72,0
3,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
5,-1.72,0
5,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
3,-1.72,0
5,-1.72,0
0,-1.72,0
-1,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
5,-1.72,0
0,-1.72,0
-1,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
3,-1.72,0
-1,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
5,-1.72,0
3,-1.72,0
0,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
-1,-1.72,0
3,-1.72,0
5,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
1,-1.72,0
3,-1.72,0
0,-1.72,0
-1,-1.72,0
3,-1.72,0
5,-1.72,0
5,-1.72,0
3,-1.72,0
3,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
1,-1.72,0
0,-1.72,0
-1,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
0,-1.72,0
3,-1.72,0
0,-1.72,0
-1,-1.72,0
0,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
0,-1.72,0
1,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
3,-1.72,0
4,-1.72,0
3,-1.72,0
0,-1.72,0
1,-1.72,0
3,-1.72,0
4,-1.72,0
0,-1.72,0
3,-1.72,0
0,-1.72,0
1,-1.72,0
-1,-1.72,0
-1,-1.72,0
0,-1.72,0
5,-1.72,0
3,-1.72,0
0,-1.72,0
0,-1.72,0
3,-1.72,0
0,-1.72,0
0,-1.72,0
5,-1.72,0
0,-1.72,0
0,-1.72,1
1,-1.72,0
0,-1.72,0
1,-1.72,0
0,-1.72,0
3,-1.72,0
3,-1.72,0
4,-1.72,0
-1,-1.72,0
-7,-1.72,0
3,-1.72,0
1,-1.72,0
3,-1.72,0
5,-1.72,0
-1,-1.72,0
4,-1.72,0
0,-1.72,0
4,-1.72,0
0,-1.72,0
3,-1.72,0
4,-1.72,0
0,-1.72,0
3,-1.72,0
5,-1.72,0
0,-1.72,0
4,-1.72,0
3,-1.72,0
-1,-1.72,0
-1,-1.72,0
5,-1.72,0
0,-1.72,0
3,-1.72,0
-1,1.07,0
4,1.07,0
0,1.07,0
7,1.07,1
0,1.07,0
5,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
-1,1.07,0
4,1.07,0
0,1.07,0
4,1.07,0
1,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
1,1.07,0
1,1.07,0
4,1.07,0
8,1.07,1
0,1.07,0
-1,1.07,0
5,1.07,0
1,1.07,0
8,1.07,1
0,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
4,1.07,0
0,1.07,0
0,1.07,1
4,1.07,0
-1,1.07,0
0,1.07,0
1,1.07,0
0,1.07,0
-1,1.07,0
5,1.07,0
2,1.07,1
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
1,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
5,1.07,0
5,1.07,0
6,1.07,1
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
4,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
7,1.07,1
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
4,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
-1,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
1,1.07,0
5,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
4,1.07,0
-3,1.07,0
1,1.07,0
-1,1.07,0
0,1.07,0
5,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
-3,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
4,1.07,0
5,1.07,0
0,1.07,0
-3,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
-1,1.07,0
-1,1.07,0
0,1.07,0
4,1.07,1
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
6,1.07,1
0,1.07,0
6,1.07,1
4,1.07,0
5,1.07,0
0,1.07,0
-1,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
-1,1.07,0
3,1.07,0
5,1.07,0
-1,1.07,0
5,1.07,0
-1,1.07,0
3,1.07,0
5,1.07,0
0,1.07,0
3,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
4,1.07,0
3,1.07,0
0,1.07,0
1,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
0,1.07,0
3,1.07,0
-1,1.07,0
1,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
1,1.07,0
3,1.07,0
0,1.07,0
0,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
0,1.07,0
4,1.07,0
0,1.07,0
5,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
5,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
-1,1.07,0
3,1.07,0
1,1.07,0
3,1.07,0
5,1.07,0
3,1.07,0
1,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
1,1.07,0
4,1.07,0
3,1.07,0
3,1.07,0
-1,1.07,0
3,1.07,0
3,1.07,0
1,1.07,0
3,1.07,0
3,1.07,0
-1,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
-1,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
5,1.07,0
-1,1.07,0
3,1.07,0
5,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,1
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
1,1.07,0
1,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
-1,1.07,0
3,1.07,0
1,1.07,0
3,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
-3,1.07,0
3,1.07,0
-7,1.07,0
0,1.07,0
3,1.07,0
3,1.07,0
5,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
0,1.07,0
4,1.07,0
3,1.07,0
1,1.07,0
5,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
3,1.07,0
